tab,question,answer
BILLING,I subscribe through my mobile operator but I notice there is a different price if I pay through my device's App Store. Why is this?,"We offer preferential rates to some of our mobile operators. If you would like to benefit from these reduced subscription fees, sign in to STARZPLAY from a desktop or mobile web browser. Navigate to Settings>Payments and change your payment method.
Remember to cancel your in-app payment method first through your device's App Store else you will be charged twice."
BILLING,What subscription payment methods are available?,"Credit card (Visa and MasterCard)
STARZPLAY Voucher
Google Wallet via Play Store
Apple In-App via iTunes
You can also pay via your local mobile operator:
UAE - du, Etisalat
KSA - stc, Mobily, Zain
Bahrain - stc
Kuwait - stc, Ooredoo, Zain
Tunisia - Ooredoo
Qatar - Ooredoo
Egypt - Vodafone
Morocco - Maroc Telecom
Iraq - Zain
Oman - Omantel, Ooredoo"
BILLING,How do I redeem my STARZPLAY voucher?,"Sign in to STARZPLAY and navigate to Settings>Payments>Change Payment Details>Other Payment Options. Select Redeem Your STARZPLAY voucher.
Enter your voucher code and click CONTINUE. Your subscription should start immediately.
When your voucher expires, your service will automatically deactivate. To prevent this, enter a new voucher code or change your payment details, otherwise any previously entered method of payment will be charged."
BILLING,How does billing work if I subscribe using my Du or Etisalat mobile plan?,"On a prepaid plan? Your mobile operator will debit AED 40 from your credit balance at the start of each monthly STARZPLAY subscription period. Just keep your credit topped up each month to keep your subscription going.
For postpaid plans, your mobile operator will charge AED 40 to your account at the start of each monthly STARZPLAY subscription period. This will then be collected by your mobile operator as usual."
BILLING,Do I have to pay for downloading the iOS or Android app?,"The app is free to download and install, but to watch content via the app you will need to subscribe to our service. Don't forget! - You can sign-up to STARZPLAY and enjoy a 7 day free trial on your subscription."
BILLING,How much does it cost to stream content over mobile data?,"This depends on your mobile data service provider. You may incur additional charges from your provider if you exceed your data package limit.
We recommend subscribers use WiFi whereever possible, or set a data limit on their devices to monitor usage."
BILLING,Why do I get an error message when I enter my credit card details?,"Check the following:
Did you input the card number correctly?
Is the card expiry date still valid?
Did you enter the 3-digit CVV correctly?
Is your card VISA or MasterCard?
If you answered yes to all the above, then please check whether your issuing bank allows online transactions. If not, you will need to register an alternative card. If you continue to have problems, please contact support@starzplay.com"
BILLING,Which STARZPLAY subscriptions are subject to VAT?,All STARZPLAY subscriptions are subject to VAT at the relevant applicable rate.
BILLING,I haven't used the service much. Can I get a refund?,"We don't provide refunds in these circumstances but you can cancel your subscription at any time without penalty. Navigate to Settings>Payments and select Deactivate subscription. Your subscription will not be renewed but you can continue to watch STARZPLAY until the end of your billing cycle.
NOTE: For Android or iOS users who use Google Play or iTunes payment method, the subcription needs to be deactivated through the Google Play Store or Apple App Store."
BILLING,How do I cancel my Apple in-app subscription?,"This can only be done on an iOS device or a computer installed with iTunes.
Open iTunes and click on the iTunes Store tab.
Go to Manage Subscription for STARZPLAY and select Edit.
Under Automatic Renewal select Off and click Done.
On the confirmation window, select Turn Off.
For further instructions, you can even visit the following link: https://support.apple.com/en-us/HT202039"
BILLING,How do I subscribe using my mobile or telecom operator?,"Here's a step-by-step guide for new subscribers:
Sign-up with STARZPLAY
Choose your preferred mobile or telecom operator to activate your account
Enter your mobile number.
You will receive a verification code to your mobile number
Enter the verification code received to confirm your subscription
NOTE : For existing subscribers, just login to STARZPLAY and go to settings > and follow the steps from 2 to 5"
BILLING,How does billing work if I subscribe using my mobile plan?,"You can sign-up to STARZPLAY'S monthly or weekly subscription plan through your ongoing mobile plan.
For prepaid plan users - Your mobile operator will debit the agreed amount from your credit balance at the start of each weekly or monthly STARZPLAY subscription period. Keep your credit topped up every week or month to keep your subscription going.
For postpaid plan users - Your mobile operator will charge the agreed amount to your account at the start of each weekly or monthly STARZPLAY subscription period. This will then be collected by your mobile operator as usual."
BILLING,How does billing work?,"We know we're awesome but if you need convincing & are new to the platform, our 7-day free trial should do the trick. At the end of your free trial, we will bill your chosen payment method - this date marks the start of your billing cycle. You can cancel your subscription at any time."
BILLING,What is VAT?,VAT (Value Added Tax) is a tax on the consumption or use of goods and services which is levied at the point of sale.
BILLING,How do I change from in-app payment to another method?,"First, cancel your in-app payment method through your device's App Store else you will be charged twice.
Next, sign in to STARZPLAY from a desktop or mobile web browser. Navigate to Settings>Payments and select your new payment method."
MY ACCOUNT,Can I customize the names and icons of each profile?,"Yes, you can customize both the names and icons for each profile."
MY ACCOUNT,Can I delete a profile?,"Yes, you can delete a profile by going to the Profile section and selecting 'Delete Profile'."
MY ACCOUNT,How do I edit a profile?,"To edit a profile, go to the Profile section, select the profile you want to edit, and update the necessary details."
MY ACCOUNT,How do I manage profiles?,"You can manage profiles by going to the Profile section and selecting 'Manage Profiles'. Here, you can edit, delete, or switch between profiles."
MY ACCOUNT,How do I recover a deleted profile?,"Unfortunately, deleted profiles cannot be recovered. You will need to create a new profile."
MY ACCOUNT,What happens if I delete a profile?,Deleting a profile will remove all its settings and history permanently.
MY ACCOUNT,How do I delete a profile?,"To delete a profile, go to the Profile section, select the profile you want to delete, and click 'Delete Profile'. Confirm the deletion."
MY ACCOUNT,Can I merge profiles?,"No, profiles cannot be merged. You will need to manually transfer any desired settings."
MY ACCOUNT,Will profiles sync across all my devices?,"Yes, profiles will sync across all devices connected to the same account."
MY ACCOUNT,Will my watchlist be shared across profiles?,"No, each profile has its own watchlist."
MY ACCOUNT,Can I see the activity history of each profile?,"Yes, you can view the activity history for each profile separately."
MY ACCOUNT,Can profiles have different subscription plans?,"No, all profiles under the same account share the same subscription plan."
MY ACCOUNT,What happens to profiles if I cancel my subscription?,"If you cancel your subscription, all profiles and their data will be saved."
MY ACCOUNT,Will adding multiple profiles affect my subscription cost?,"No, adding multiple profiles will not affect your subscription cost."
MY ACCOUNT,What happens to a profile�s data if it�s not used for a long time?,A profile�s data remains intact regardless of its usage frequency.
MY ACCOUNT,Will adding multiple profiles affect my streaming quality?,"No, adding multiple profiles will not affect your streaming quality. Each profile operates independently."
MY ACCOUNT,Can I switch between profiles?,"Yes, you can easily switch between profiles by selecting the desired profile from the Profile section."
MY ACCOUNT,Can I set up a kid�s profile with restricted content?,"Yes, you can create a kid�s profile with restricted content appropriate for children."
MY ACCOUNT,Will each profile have its own viewing history?,"Yes, each profile will have its own viewing history, which is not shared with other profiles."
MY ACCOUNT,What is the Multiple Profiles feature?,"The Multiple Profiles feature allows users to create separate profiles for different members of the household, each with its own viewing preferences and settings."
MY ACCOUNT,How many profiles can I create?,You can create up to 5 profiles per account.
MY ACCOUNT,Can I restrict access to specific profiles?,"Yes, you can set PINs or passwords to restrict access to specific profiles."
MY ACCOUNT,Can I set a profile PIN for security?,"Yes, you can set a PIN in the Profile settings to restrict access."
MY ACCOUNT,Can I set different parental controls for each profile?,"Yes, you can set unique parental controls for each profile."
MY ACCOUNT,Can I set different viewing preferences for each profile?,"Yes, you can set different viewing preferences, such as language and content restrictions, for each profile."
MY ACCOUNT,Can I have different recommendations for each profile?,"Yes, each profile will receive personalized recommendations based on its own viewing habits."
MY ACCOUNT,Can I set different languages for each profile?,"Yes, you can set a preferred language for each profile individually."
MY ACCOUNT,Can I transfer a profile to another account?,"No, profiles cannot be transferred between different accounts."
MY ACCOUNT,How do I create a new profile?,"To create a new profile, go to the Profile section and click on 'Add Profile'. Follow the prompts to set up the new profile."
MY ACCOUNT,How to Delete Your Account?,"To delete your account and data, visit our contact us page or click
here
(
https://starzplay.com/en/contact
)."
MY ACCOUNT,"What is ""My List,"" and what do I use it for?","My List displays all the content you have added to the list, you plan to watch."
MY ACCOUNT,I forgot my password. How can I reset it?,"1. Visit starzplay.com/login
2. Click on 'Forgot Password'.
3. Follow the steps to reset your password."
MY ACCOUNT,How do I reactivate my STARZPLAY account?,"Thank you for coming back! Login with your existing account details, and head to Settings where you can reactivate your account by entering a valid payment method."
MY ACCOUNT,Can you explain what Settings are?,"This where all your account details and preferences live. Here you can change language settings, payment options, parental controls, registered devices and more. You can also cancel or reactivate your account."
MY ACCOUNT,How can I control how much data STARZPLAY uses?,"Our superhero technology automatically delivers the highest quality stream according to your device capabilities and internet speed - but it doesn't let  you set a data limit.
To reduce data usage, you can manually select the streaming quality in Settings. Or better still, find some WiFi."
MY ACCOUNT,"I tried to register for an account, but got the error message ""Email already exists.""","This means that there is already an account with this email address.
If you’ve forgotten your password, select the ‘forgot password’ link at the login page and follow the on-screen instructions.
You will receive a reset password email with a link that expires in two hours. If you don’t receive it, check your spam folder."
MY ACCOUNT,How do I set parental controls?,Login and select Settings>Parental Control. Here you can choose the right setting according to age.
MY ACCOUNT,How do I delete a registered device on STARZPLAY?,Login and select Settings>Devices to see all the registered devices on your account. Select the relevant ‘Delete’ icon to remove the chosen device. You can delete one registered device every 30 days.
MY ACCOUNT,How do I de-activate my STARZPLAY account?,Login with your existing account details and head over to Settings>Payment where you can deactivate your account.
MY ACCOUNT,How do I change my password?,"Go to Settings>Profile and follow the on-screen instructions. If you’ve forgotten your password, select the ‘forgot password’ link at the login page and follow the instructions."
MY ACCOUNT,How can I keep my STARZPLAY account secure?,"Security is a serious matter and all your information is kept confidential and handled securely. As an added level of security we recommend subscribers use a strong password, change it frequently and never share it with anyone. We also suggest you keep your device safe, and report any suspicious activity on your account to us immediately via our Contact page."
MY ACCOUNT,"How do I remove TV shows and movies from ""My List""?","It’s simple. If you are on the title description page, just click on the ‘My List’ button. It will change to show you whether the title has been added or removed.
If you are on the My List page:
MOBILE APP
Click ‘Edit’
Select the title(s) to remove
Click ‘Delete’
BROWSER
Hover over the title to remove
Click ‘Delete’"
MY ACCOUNT,How do I share my activity on STARZPLAY with my friends or family?,Just click the Share icon and choose a social media option. Here you can share what you’re watching – and what you have to say about it!
MY ACCOUNT,How do I sign up for a STARZPLAY account?,"Signing up is easy but can only be done through a browser or our app, sorry. Just follow the on-screen instructions to create your account and set up your payment method. Once you've signed up you can then login on any supported device."
FREE TV,"Are ""Free with Ads"", ""STARZPLAY Entertainment, STARZPLAY Ultimate, and STARZPLAY Sports,"" and ""Store"" content all available in the same library?","Yes, all content is available within the STARZ ON platform, but ""Free with Ads"" content is in a separate section from the premium and store content. This separation makes it easier to find the content you want."
FREE TV,"How do I switch between ""Free with Ads,"" ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports,"" and ""Store"" sections on the platform?",You can switch between these sections by using the navigation menu options in the STARZ ON app or website.
FREE TV,"Is ""Free with Ads"" available in all regions?","""Free with Ads"" is available in the countries within the MENA region where STARZ ON operates. However, the availability of specific content in different countries may vary due to content licensing and agreements. We strive to make as much content available as possible, but some restrictions may apply based on regional agreements."
FREE TV,"Can I provide feedback or report issues with ads in ""Free with Ads"" content?","Yes, you can provide feedback or report issues with ads in ""Free with Ads"" content through the STARZ ON app or website by contacting our customer support team at Support@starzplay.com."
FREE TV,"Can I watch ""Free with Ads"" content while traveling internationally?","""Free with Ads"" content can be accessed while traveling internationally, as long as you are within the countries where STARZ ON operates. However, the availability of specific content may vary in these countries due to content licensing and agreements."
FREE TV,"Can I switch between ""Free with Ads"" and ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" without losing my watchlist?","Yes, your watchlist will be maintained even when switching between sections."
FREE TV,"Can I continue watching ""Free with Ads"" content after deactivating or canceling my subscription?","Yes, you can still enjoy ""Free with Ads"" content even if you've deactivated or canceled your subscription. This content is available to users with or without an account."
FREE TV,"Do I need to enter payment information to access ""Free with Ads"" content?","No, you don't need to enter payment information to access ""Free with Ads"" content."
FREE TV,"How do I access exclusive content in the ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" section?","To access exclusive content in the ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" & ""Store"", you can visit the dedicated sections from the navigation menu on the apps or website. Please note that you'll need to have an active account and the respective subscription to play the exclusive content."
FREE TV,"How do I know if I'm watching ""Free with Ads"" content or ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" content?","You can easily identify ""Free with Ads"" content by checking the dedicated section within the platform. Additionally, look for a badge that indicates it's free to watch. This makes it simple to distinguish between ""Free with Ads"" and premium content while browsing."
FREE TV,"Can I add contents to mylist for ""Free with Ads"" content for later?","You can add content to your watchlist for the ""Free with Ads"" content, for easy access."
FREE TV,Is parental control available to filter content for younger viewers?,"Yes, age restrictions can be applied when you create an account and log in to the app. If you set age restrictions, the ""Free with Ads"" content page will filter and exclude content that is not suitable based on the selected age restrictions, ensuring a safe and age-appropriate viewing experience for users."
FREE TV,"Do I have to log in or sign up to access ""Free with Ads"" content?","No, you can watch ""Free with Ads"" content without the need to log in or sign up. It's designed to be accessible to everyone, offering a hassle-free viewing experience."
FREE TV,"Will ""Free with Ads"" content have the same video quality as ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" or ""Store"" content?","Yes, the video quality for ""Free with Ads"" content is expected to be the same as that of our premium offerings. We aim to provide a consistent and high-quality viewing experience across all our content."
FREE TV,"Can I rewind or fast forward through ads in ""Free with Ads"" content?","Depending on the specific content and licensing, you may be able to rewind or fast forward through ads."
FREE TV,"Can I control the volume or mute ads in ""Free with Ads"" content?","Yes, you can control the volume or mute ads in ""Free with Ads"" content using your device's controls."
FREE TV,"Are ads in ""Free with Ads"" content skippable, or do I have to watch them fully?","Some ads may be skippable, while others may not be, depending on the specific content and licensing agreements."
FREE TV,"Can I still access my favorite ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" and ""Store"" content with the introduction of ""Free with Ads""?","Yes, you can access premium and store content separately, and it's not affected by the introduction of ""Free with Ads""."
FREE TV,"Will ""Free with Ads"" content include subtitles and audio options?",Availability of subtitles and audio options may vary by content.
FREE TV,"Can I use ""Free with Ads"" content offline?","No, 'Free with Ads' content is typically available for online streaming only. The download to device feature is supported for user who have created an account and logged in with it. However downloading the asset may vary depending on the content license and agreement."
FREE TV,"Are there any limits on how much ""Free with Ads"" content I can watch in a day?","There is no set limit on how much ""Free with Ads"" content you can watch. So, you can enjoy watching the free with ads contents as much as you want."
FREE TV,"Will there be ads as part of the premium subscriptions ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" or ""Store content""?","No, premium subscriptions (e.g., STARZPLAY Entertainment, STARZPLAY Ultimate, STARZPLAY Sports) and ""Store"" content are ad-free."
FREE TV,"How does ""Free with Ads"" differ from ""STARZPLAY Entertainment, STARZPLAY Ultimate, and STARZPLAY Sports"" content or ""Store"" content?","""Free with Ads"" provides free access to selected content with ads, while ""STARZPLAY Entertainment, STARZPLAY Ultimate, and STARZPLAY Sports"" content and ""Store"" content require a paid subscription or individual purchases for the store contents."
FREE TV,"Will ""Free with Ads"" content always have ads, even if I have a ""STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports"" subscription or purchase/rent from the ""Store""?","Yes, ""Free with Ads"" content will always include ads, even if you have a paid subscription or purchase/rent from the ""Store."" It's important to note that ""Free with Ads"" content is in its dedicated section, ensuring it doesn't get mixed up with premium content, and you can easily distinguish between the two when browsing the platform."
FREE TV,"Is there a way to disable the ads in ""Free with Ads"" content?","No, ""Free with Ads"" content includes ads. To enjoy content without ads, you can subscribe to one of our available premium subscriptions within our service, such as STARZPLAY Entertainment, STARZPLAY Ultimate, or STARZPLAY Sports."
FREE TV,"Can I watch ""Free with Ads"" content on multiple devices?","Yes, ""Free with Ads"" content is available on various devices supported by STARZPLAY."
FREE TV,"How often will I see ads during ""Free with Ads"" content?","The frequency of ads may vary depending on the specific content. Some content may have fewer ads, while others may have more."
FREE TV,"How long are ads in ""Free with Ads"" content typically?","The duration of ads varries but will typically be of standard length (e.g., 15, 30, or 60 seconds)."
FREE TV,"What is ""Free with Ads"" on STARZON?","""Free with Ads"" is a new feature on STARZON that allows users, with or without an account, to access selected content for free with ads."
STORE,Can I access the rented/bought content on more than one device?,"Yes, the rented/bought contents are linked to your STARZPLAY account. You will be able to view the contents as long as you have logged in using the same account."
STORE,What is the difference between Buy & Rent contents on STARZPLAY?,"When you buy a movie or a series, the content remains in your account, to watch it anytime and as many times you want.
Rent provides you 30 days to start watching the content from the date of rental and 48 hours to finish from the time you have started watching."
STORE,How to Rent or Buy a content?,"Launch the STARZPLAY app.
Navigate to Store section.
Click on the content you wish to rent/purchase. On the details page, select the option to buy or rent as applicable"
STORE,How can I pay to order a content?,"You can use one of the below options:
Credit / Debit Cards
Apple in App via iTunes
Google in App via Playstore"
STORE,On which devices can I order a content from?,"You can order the content on your STARZPLAY account from your web browser or iOS and Apple TV devices or Android mobile and Android TV devices following the below instructions:
Login to your STARZPLAY account
Navigate to Store page
Click on the desired content. On the details page, select the option to buy or rent as applicable
Complete your order by paying using one of the supported payment options depending on your device
Enjoy watching!"
STORE,Do I need a STARZPLAY account to order a content?,"Yes, you need a STARZPLAY account to buy or rent the contents. Login to your account to use this feature."
STORE,Where can I find my order history?,"Login to your account and navigate to Settings page, you will find the order history under Purchase History section."
STORE,Can I download rent or buy contents?,"Yes, you can download the rented or purchased content. However when you download the rented content, you will have access to the content only for 48hrs from the time of download."
CHANNELS,What is the price of STARZPLAY Ultimate subscription?,"United Arab Emirates: AED 54.99
Saudi Arabia: SAR 54.99
Kuwait: KWD 4.60
Qatar: QAT 54.99
Oman: OMR 5.75
Bahrain: BHD 5.65
Egypt: EGP 199.99
Morocco: MAD 54.99
Algeria: USD 4.99
Iraq: USD 5.99
Jordan: JOD 4.99
Lebanon: USD 6.99
Tunisia: TND 15.99
Djibouti: USD 9.99
Libya: USD 9.99
Palestine: USD 9.99
Mauritania: USD 9.99
Yemen: USD 9.99
South Sudan: USD 9.99"
CHANNELS,What is STARZPLAY Ultimate?,"STARZPLAY Ultimate is a subscription package that will give you access to endless entertainment & exclusive live sport all in one in a reduced price
STARZPLAY
STARZPLAY Sports"
CHANNELS,How do I sign up?,"Go to starzplay.com. Click on Signup button
Fill out the user details
Choose your subscription
Enter a payment method
Enjoy watching"
CHANNELS,How to upgrade my subscription to STARZPLAY Ultimate?,"Visit the STARZPLAY website or app
Login or Signup
Go to settings page
Click on the Activate button for STARZPLAY Ultimate
Enter a payment method
Enjoy watching
Note: By upgrading to STARZPLAY Ultimate, the remaining period of your STARZPLAY or STARZPLAY Sports current subscription will be lost without a refund. A new subscription cycle will be started."
CHANNELS,What payments options can be used to subscribe to STARZPLAY Ultimate?,"You can subscribe to STARZPLAY Ultimate using any one of the below options:
On the website you can use credit / debit cards
On Apple devices you can use Apple in App purchase as a payment option
On Android devices you can use Google in App purchase as a payment option"
CHANNELS,How do I activate STARZPLAY Ultimate?,"Visit the STARZPLAY website or app
- Login or Signup
- Choose your subscription or go to settings page
- Click on the Activate button for STARZPLAY Ultimate
- Enter a payment method
- Enjoy watching
Note: If you are already subscribed to one of the existing subscriptions that are now part of STARZPLAY Ultimate, any standing discounts/promotions will be lost upon upgrading to STARZPLAY Ultimate and a new billing cycle will start."
CHANNELS,I'm already subscribed to one of the subscriptions that have become enrolled in STARZPLAY Ultimate; how will I be billed after joining STARZPLAY Ultimate?,"Once you activate STARZPLAY Ultimate, we will automatically cancel any standalone subscriptions that have become enrolled in STARZPLAY Ultimate. You will only pay the STARZPLAY Ultimate fee moving forward.
If you have subscribed to any of the same subscriptions that have become enrolled in STARZPLAY Ultimate through iTunes, you will have to unsubscribe from these subscriptions using iTunes before subscribing to STARZPLAY Ultimate to avoid double payment."
CHANNELS,How do I cancel?,"Login with your existing account details and head over to Settings > Payment, where you can deactivate your account. Remember, your login details will remain valid. You are always welcome to return and reactivate your account; you'll need to enter valid payment details.
If you subscribed using the Apple app store or Google Play, please unsubscribe via your account on the Apple app store or Google Play."
CHANNELS,I'm already subscribed to one of the subscriptions that have become enrolled in STARZPLAY Ultimate; how will I be billed after joining STARZPLAY Ultimate?,"Once you activate STARZPLAY Ultimate, we will automatically cancel any standalone subscriptions that have become enrolled in STARZPLAY Ultimate. You will only pay the STARZPLAY Ultimate fee moving forward.
If you have subscribed to any of the same subscriptions that have become enrolled in STARZPLAY Ultimate through iTunes, you will have to unsubscribe from these subscriptions using iTunes before subscribing to STARZPLAY Ultimate to avoid double payment."
CHANNELS,What payments options can be used to subscribe to STARZPLAY sports?,"You can subscribe to STARZPLAY Sports using any one of the below options:
On the website you can use credit / debit cards
On Apple devices you can use Apple in App purchase as a payment option.
On Android devices you can use Google in App purchase as a payment option."
CHANNELS,I'm already subscribed to one of the channels that have become enrolled in STARZPLAY Sports; how will I be billed after joining STARZPLAY Sports?,"Once you activate STARZPLAY Sports, we will automatically cancel any standalone subscriptions to channels that have become enrolled in STARZPLAY Sports. You will only pay the STARZPLAY Sports fee moving forward.
If you have subscribed to any of the same channels that have become enrolled in STARZPLAY Sports through iTunes, you will have to unsubscribe from these channels using iTunes before subscribing to STARZPLAY Sports to avoid double payment."
CHANNELS,How do I cancel?,"Login with your existing account details and head over to Settings > Payment where you can deactivate your account. Remember, your login details will remain valid. You are always welcome to come back and reactivate your account, you'll need to enter valid payment details.
If you subscribed using iTunes or Google Wallet, please unsubscribe via your account on iTunes or Google Wallet"
CHANNELS,What is STARZPLAY Sports?,"STARZPLAY Sports is a subscription package that will give you access to the following premium sports add-ons and channels:
Serie A
Coppa Italia
GolfTV
Cricket"
CHANNELS,How do I activate STARZPLAY Sports?,"Visit the STARZPLAY website or app
Login or Signup
Choose your subscription or go naviagate to the Sports page in the menu
Click on the Activate button
Enter a payment method.
Enjoy watching
Note: If you are already subscribed to one of the existing addons that are now part of STARZPLAY Sports, any standing discounts/promotions will be lost upon upgrading to STARZPLAY Sports and a new billing cycle will start."
CHANNELS,How do I Sign Up?,"Go to starzplay.com. Click on Signup button
Fill out the user details
Choose your subscription
Enter a payment method.
Enjoy watching"
CHANNELS,If I'm subscribed to one channel can I stream content from another channel?,No. You must subscribe to stream content from a channel
